"데이터직무별(1)","성별(1)",2021,2021,2021,2021
"데이터직무별(1)","성별(1)",데이터산업 전체,데이터 처리 및 관리 솔루션 개발·공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업
"전체","계",122431,22124,58733,41574
"전체","남성",100214,18562,49901,31751
"전체","여성",22216,3561,8832,9823
"데이터 아키텍트","계",9329,2061,6044,1223
"데이터 아키텍트","남성",8551,1964,5484,1102
"데이터 아키텍트","여성",778,97,560,120
"데이터 개발자","계",42128,7891,21858,12379
"데이터 개발자","남성",32379,5837,17649,8894
"데이터 개발자","여성",9749,2055,4209,3485
"데이터 엔지니어","계",18964,3276,9866,5822
"데이터 엔지니어","남성",15866,2863,8276,4727
"데이터 엔지니어","여성",3098,413,1591,1095
"데이터 분석가","계",9461,1519,3828,4113
"데이터 분석가","남성",7698,1329,3303,3066
"데이터 분석가","여성",1763,191,525,1048
"데이터베이스 관리자","계",17706,1769,7736,8201
"데이터베이스 관리자","남성",14217,1457,6664,6095
"데이터베이스 관리자","여성",3489,312,1072,2106
"데이터 과학자","계",3027,762,1443,823
"데이터 과학자","남성",2637,717,1226,695
"데이터 과학자","여성",389,45,217,128
"데이터 컨설턴트","계",8979,2556,4856,1567
"데이터 컨설턴트","남성",7815,2342,4388,1085
"데이터 컨설턴트","여성",1165,214,469,482
"데이터 기획자","계",12837,2289,3101,7447
"데이터 기획자","남성",11051,2054,2911,6087
"데이터 기획자","여성",1785,235,190,1360
